,id,name,coordinates,score,intro,images,tag_labels,attribution,price_tier,eatingout_score,breakfast,lunch,dinner,drinks,coffee,icecream,cuisine,price,latitude,longitude
0,T__b454514569e0,Pellegrini's Espresso Bar,"{'latitude': -37.811722, 'longitude': 144.971173}",4.918932328443228,"Pellegrini's Espresso Bar is a café on Bourke Street in Melbourne, Australia, described as ""one of Melbourne's most iconic destinations, in a city that prides itself on coffee and fine food"". The café was established in 1954 by Leo and Vildo Pellegrini - brothers and migrants from Italy. The brothers had worked at Florentino's, a popular Italian restaurant on Bourke Street before establishing their own coffee bar nearby. The bar is claimed to be the first in Melbourne to use an espresso machine, although many cafés in the Italian-Australian neighbourhood of Lygon Street in Carlton acquired machines at around the same time.
The café, originally tiny, expanded in 1958 and the heritage-listed neon sign at one stage pointed to a rear area on Crossley Street that is now closed. The café was originally patronised primarily by the Italian migrant community but soon became a popular spot for ""theatre people, intellectuals and, eventually, tourists"".
Pellegrini's was sold to Nino Pangrazio and Sisto Malaspina in 1974, also Italian migrants. The new owners worked with the Pellegrini brothers for three months in the transition, to ensure that quality would be maintained. Pangrazio and Malaspina claim that little has changed in that time with the decor, the menu and the cooking style remaining the same.
In 2014, Pellegrini's was inducted into the Good Café Guide Hall of Fame. The café is listed by the National Trust of Australia.
Co-owner of the café, Sisto Malaspina, was murdered during the 2018 Melbourne stabbing attack, which prompted a significant outpouring of grief, with mourners leaving flowers and signing a tribute book to Malaspina. Victorian Premier Daniel Andrews, who described Sisto Malaspina as a ""Victorian icon"", announced that Malaspina's family had accepted his offer of a state funeral. The City of Melbourne also confirmed it was considering suggestions to rename Crossley Street, which corners Pellegrini's in honour of Malaspina, telling The Age that ""In the coming weeks, the City of Melbourne will consider a range of measures to recognise the life of Sisto Malaspina."" A memorial table was installed on Bourke Street, outside the café, in his honour in 2020. It features the words ""Sisto of Pelligrini's"" and his portrait, alongside a plaque that reads, in part, """"The outpouring of grief that followed Sisto Malaspina's death during a terror-related incident in Bourke Street would have surprised Sisto more than anyone else. Yet the response made sense: Sisto loved Melbourne - and Melbourne loved him back.""
In 2020, during the Covid pandemic, Sisto's son, David, and wife, Vicki, bought out Nino Pangrazio. David currently manages the café.","[{'sizes': {'medium': {'url': 'http://api-images-www.triposo.com/20220705/gAAAAABjUKigLHRxzje22_JceUxcHH9B31EdwpE0vT9Iayzh9mPWF5Gu4o7-YzG-IHDz6M_3ZSsxhgsTK15kQawSsqjXS6LsrmfRF6GGYHTQKxi-TWn8r-d7h1gz1yAKixYWWKrK6lau7hRHcEQbm0OUC7DR3WyJm0155b7lW9wgOdrZ92WoArK9DkupRlKViRu2D5jbhgMCs4D5Cnks3lxhs0xos_J5-_EbYz9X73vHHht9sVkc1NHmmQJQ7S-Qa8tnICuEsqMmO45f6wPQNT_Jp-S-mvgQUo5mV3HLYAvYfZ0EIap0NJo=', 'bytes': 56991, 'width': 640, 'format': 'jpg', 'height': 480}, 'original': {'url': 'https://upload.wikimedia.org/wikipedia/commons/4/4b/Pellegrinis_at_dusk_December_2012.jpg', 'bytes': 4937098, 'width': 4032, 'format': 'jpg', 'height': 3024}, 'thumbnail': {'url': 'http://api-images-www.triposo.com/20220705/gAAAAABjUKigH33Ci9yf-1c_rGVsaxNq0LtyhaO6aG5EOBIhoacJwN51IVac1QqZp28r-pPkZWE4h-qTuGlHQg7uAQK4Kh8Zy6I9f6QZb4RWyFzSsp-fgRXNg7L4XdNxoB-1bPqfDiuVO9XojohtZligTdmLyjFuhJuszXLHe4csrb8M8Na71KDTjWT7PKhFG-JGhxaSHaWa7dELJeW1uRWTbPJretYxOS5i_uXqTewAFzeIGnRDBfgF1lm2m6-iIx0fketqePFDy6gAIpN63FdOuwr_IWnZCA==', 'bytes': 9159, 'width': 192, 'format': 'jpg', 'height': 144}}, 'caption': 'image', 'source_id': 'wikipedia', 'source_url': 'https://upload.wikimedia.org/wikipedia/commons/4/4b/Pellegrinis_at_dusk_December_2012.jpg', 'attribution': {'format': '{attribution} / {license}', 'license_link': 'https://creativecommons.org/licenses/by-sa/3.0', 'license_text': 'CC BY-SA 3.0', 'attribution_link': 'https://commons.wikimedia.org/wiki/File:Pellegrinis_at_dusk_December_2012.jpg', 'attribution_text': 'Nick-D'}}]","['lunch', 'coffee', 'dinner', 'cuisine', 'feature', 'district', 'eatingout', 'district-cbd', 'poitype-Cafe', 'eatingout_time', 'cuisine-Dessert', 'cuisine-Italian', 'feature-Takeaway', 'poitype-Restaurant', 'eatingout_establishment', 'district-melbourne_central_business_district']","[{'url': 'http://www.openstreetmap.org/node/642333245', 'source_id': 'openstreetmap'}, {'url': 'http://en.wikipedia.org/wiki/Pellegrini%27s%20Espresso%20Bar', 'source_id': 'wikipedia'}]",1.0,9.837864656886456,0,1,1,0,1,0,"['Dessert', 'Italian']",cheap,-37.811722,144.971173
1,N__1021358707,Attica,"{'latitude': -37.8770267, 'longitude': 144.9972939}",4.699924440836641,"Attica is a fine-dining restaurant in Melbourne, Australia, owned and operated by Ben Shewry. It has won several awards in Australia, and has been included in The World's 50 Best Restaurants since 2010. Its current position on the list places it as the top restaurant in Australia.
The restaurant was opened by Dr David Maccora (an emergency doctor at Malvern's Cabrini Hospital) and his wife Helen, in a converted suburban bank building. After two chefs failed to attract sufficient patronage at the restaurant the Maccoras employed Ben Shewry (formerly at St Kilda's Circa) in 2005, giving him full creative control of the menu. In January 2015 the Maccoras sold the restaurant to Shewry.",[],"['lunch', 'dinner', 'cuisine', 'icecream', 'eatingout', 'cuisine-Beer', 'cuisine-Wine', 'cuisine-Marron', 'eatingout_time', 'cuisine-Dessert', 'poitype-Restaurant', 'eatingout_establishment']","[{'url': 'http://www.openstreetmap.org/node/1021358707', 'source_id': 'openstreetmap'}, {'url': 'http://en.wikipedia.org/wiki/Attica%20%28restaurant%29', 'source_id': 'wikipedia'}]",3.0,9.399848881673282,0,1,1,0,0,1,"['Beer', 'Wine', 'Marron', 'Dessert']",expensive,-37.8770267,144.9972939
2,Lentil_as_Anything,Lentil as Anything,"{'latitude': -37.8704051, 'longitude': 144.980984}",4.281566983283058,"Lentil As Anything Inc. (Lentil) was a group of pay as you feel, not for profit vegetarian and vegan Australian restaurants founded by Shanaka Fernando. Restaurants were located in Melbourne and Sydney and operated on a similar model to pay what you can. The operation closed in February 2022 due to financial concerns. Lentil is named after the Australian new wave band Mental As Anything.",[],"['lunch', 'coffee', 'dinner', 'cuisine', 'district', 'eatingout', 'cuisine-Vegan', 'eatingout_time', 'district-st_kilda', 'cuisine-Vegetarian', 'poitype-Restaurant', 'eatingout_establishment']","[{'url': 'http://www.openstreetmap.org/node/3214984449', 'source_id': 'openstreetmap'}, {'url': 'http://en.wikipedia.org/wiki/Lentil%20as%20Anything', 'source_id': 'wikipedia'}]",,8.563133966566117,0,1,1,0,1,0,"['Vegan', 'Vegetarian']",medium,-37.8704051,144.980984
3,W__42181782,Young & Jackson,"{'latitude': -37.817355272057746, 'longitude': 144.96702129478254}",4.088160730060942,"Well known venue with a fantastic menu and big portions, located close to the Koorie Heritage Trust. Young and Jackson Hotel is definitely a place worth considering for its good food and excellent beers. Top class service and a nice atmosphere. Really fantastic value for money.","[{'sizes': {'medium': {'url': 'http://api-images-www.triposo.com/20220705/gAAAAABjUKigWi26W1pmdij2ALQJkvWNnfzrqx-_8QFZSp6prL-RgRJKEfmuBqO6e2XBFvhbx9SqQ4Lxm_Ag9ruffdviyeYf4ZQoO9hSWpFBsIvp5cHova4F-SCff5La4xuVMhAkScd9c_E7CLWuesHTedRlwX8aIUuydI-F7ncUO0p6GzTKFD41KK1CoJJjNeM9BJKp0BXKqhvkXFyUUF9e0Bhlc7pWwwP39dXfxTX0CsR6CTjMMM-L-eG_7u2RcXmyY0hP1KGpHp74LqIYbYBAeWPAZDXIpceADI5XX4hKRGVGZ3j_no0=', 'bytes': 54764, 'width': 640, 'format': 'jpg', 'height': 427}, 'original': {'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c9/IMG_6338_Young_and_Jackson%2C_Melbourne%2C_Australia.jpg', 'bytes': 4002637, 'width': 3456, 'format': 'jpg', 'height': 2304}, 'thumbnail': {'url': 'http://api-images-www.triposo.com/20220705/gAAAAABjUKig4-K3_Q5034ZHB2ND6eYJ9_DHVk_MawkWJVSR4thhhf5yElBYlB1EDI-IhDBjV5J6A3Ht6wvRB9aHDnpQQ1avyE73wjff8v7J0pbs5Plr5PuZK1a64GG-8lTD_8pw_37ZlRWKL76KfOhFLhpH5qpoZp8RSIJ_frCoZ6bKF_wmELxlR_HoCktrI3mvA0JwbrD3hHuCvXL9r32-l8qreonRBm80UOwixckxMztaex0F8Sthz9be9fCu6eNBsJ0ShF_Y6MD3xeJy1SXEm3aY-9VuUQ==', 'bytes': 8090, 'width': 192, 'format': 'jpg', 'height': 128}}, 'caption': 'image', 'source_id': 'wikipedia', 'source_url': 'https://upload.wikimedia.org/wikipedia/commons/c/c9/IMG_6338_Young_and_Jackson%2C_Melbourne%2C_Australia.jpg', 'attribution': {'format': '{attribution} / {license}', 'license_link': 'https://creativecommons.org/licenses/by/2.5', 'license_text': 'CC BY 2.5', 'attribution_link': 'https://commons.wikimedia.org/wiki/File:IMG_6338_Young_and_Jackson,_Melbourne,_Australia.jpg', 'attribution_text': 'Mat Connolley (Matnkat)'}}]","['lunch', 'coffee', 'dinner', 'drinks', 'cuisine', 'feature', 'district', 'eatingout', 'nightlife', 'poitype-Bar', 'cuisine-Beer', 'cuisine-Wine', 'district-cbd', 'cuisine-Steak', 'eatingout_time', 'cuisine-Dessert', 'feature-Live_music', 'eatingout_establishment', 'district-melbourne_central_business_district']","[{'url': 'http://www.openstreetmap.org/way/42181782', 'source_id': 'openstreetmap'}, {'url': 'http://en.wikipedia.org/wiki/Young%20and%20Jackson%20Hotel', 'source_id': 'wikipedia'}]",,9.6942347547355,0,1,1,1,1,0,"['Beer', 'Wine', 'Steak', 'Dessert']",medium,-37.817355272057746,144.96702129478254
4,W__46106859,Corner Hotel,"{'latitude': -37.824837201042115, 'longitude': 144.9926436571404}",3.7766997642645244,"The Corner Hotel in the Melbourne suburb of Richmond, Victoria, Australia, is a remodelled 19th-century pub which has been a live music venue since the 1940s and, since 1995, a popular rock music venue and rooftop bar.","[{'sizes': {'medium': {'url': 'http://api-images-www.triposo.com/20220705/gAAAAABjUKigRohU7C3yVyFAgQ-NC62twlmXp01S-h-OlnLNafVp8A3hHWLA7qbI_zUafaQlGFtKSETiEfjQ1PuN2ImhLtYV7WtRyha0bAAtV2iuBWSJ8yyM42kzOEEHxg67VC5731IbD7Pi6g-4ffLmZ1rkJrGb17WlZvkQc4lH-9rsAWBENyWx0fcSpDgd86892V6AqBjFN3wfFfHDkqWtfnC5hpvibA3wP65_w1nTyDtpmgbehmMGpJNtLWdr7vDNo20hJAbbRtleAPqTnh1tXM3UeaGQxQbvBIno7xgRs8fRRWlH94I=', 'bytes': 34605, 'width': 640, 'format': 'jpg', 'height': 398}, 'original': {'url': 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Corner_Hotel_Richmond_1a.jpg', 'bytes': 2791638, 'width': 3699, 'format': 'jpg', 'height': 2298}, 'thumbnail': {'url': 'http://api-images-www.triposo.com/20220705/gAAAAABjUKigQadJ7qd3a02Hx1f_163O6qX4_3LMuuaQ88kwK0r9v0SmDBeXuRK4Et8VICqLihYOQrScUYnjLgGyWIc1yxVk2SK6X45Hvhbuy0adDi2M1EiUd70LuRYLQ5DTKMEwccK6NS8U8-Jih56LCMM1I95_vkvqVF5Jom0CsuIKLqPbaqJcoBwoYYmCaUkkYIYvOKHDk-uo3rq7M_hk0mGgxJPyI-9I3WFMbTYH4ABErRI0-9ZFQocOPn0z2jJJhwO8cXqe8LdUIpOjLU7I7kMZznwmxg==', 'bytes': 5912, 'width': 192, 'format': 'jpg', 'height': 119}}, 'caption': 'image', 'source_id': 'wikipedia', 'source_url': 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Corner_Hotel_Richmond_1a.jpg', 'attribution': {'format': '{attribution} / {license}', 'license_link': 'https://creativecommons.org/licenses/by-sa/3.0', 'license_text': 'CC BY-SA 3.0', 'attribution_link': 'https://commons.wikimedia.org/wiki/File:Corner_Hotel_Richmond_1a.jpg', 'attribution_text': 'Commander Keane'}}]","['drinks', 'cuisine', 'feature', 'district', 'eatingout', 'nightlife', 'poitype-Bar', 'cuisine-Beer', 'eatingout_time', 'district-richmond', 'feature-Live_music', 'district-north_richmond', 'eatingout_establishment']","[{'url': 'http://www.openstreetmap.org/way/46106859', 'source_id': 'openstreetmap'}, {'url': 'http://en.wikipedia.org/wiki/Corner%20Hotel', 'source_id': 'wikipedia'}]",1.0,7.157656503015088,0,0,0,1,0,0,['Beer'],cheap,-37.824837201042115,144.9926436571404
5,N__302753749,Esplanade Hotel,"{'latitude': -37.8640582, 'longitude': 144.973013}",3.5622572093690223,"The Esplanade Hotel, commonly known locally as ""The Espy"", is a hotel and music venue in the inner bayside suburb of St Kilda, in the city of Melbourne, Victoria, Australia. Built in 1878, it overlooks Port Phillip from the Upper Esplanade. It is famed for its long history of live music, and served as the filming location for the live music trivia program Rockwiz.","[{'sizes': {'medium': {'url': 'http://api-images-www.triposo.com/20220705/gAAAAABjUKigPrlraB0XlpvmchdAS0Jv55ul5hWhN6I_ERifYm8UVvuA5R-Opv9tUPNjk5GugF3ex85pQ5UCSXKOcLWZqrK-gi2Qo9lykk4VfLBd7j6jMWBEZkchlmFx12GcEJ_JTeHiIAi2lxdo5YRniizdgxb0P8ELdl5I-ZENfj8KqrN6is9GEzxl00-XdR1JAKKhAVZr8iOntuWszaX9U8Mfb4XB6LXA0k33jMu3HqeyFho5UZj20tW0ebXZ5OcXhyWbVk7Eb6cSeteMSiAtFRSbAJX8O5ppoTBUMXt6b3WuC5e2T5Q=', 'bytes': 56260, 'width': 640, 'format': 'jpg', 'height': 427}, 'original': {'url': 'https://upload.wikimedia.org/wikipedia/commons/9/99/20200529075333%21The_Esplanade_Hotel_on_The_Esplanade_in_St_Kilda.jpg', 'bytes': 1521587, 'width': 1759, 'format': 'jpg', 'height': 1174}, 'thumbnail': {'url': 'http://api-images-www.triposo.com/20220705/gAAAAABjUKig0pX5ZM5ZuopvvyD0yhPBe3mJrpkfrzq83WBQrKjZf-NGgEI4SSNIG9dO0_Q8pP3bBvVOvngho-NX-58ZabeVKINik2Js8C-ckVKvr2bPxPWVIv5RUMUJRAgMcC5NLkj4BXLMOKnt4dkIwpC_hPKRHeOs0rTnQja8ZhOWIQOMXoE1MjJ9cFRf0PfHWiMLsUEeaQ5WTrSRg9vLUazXEz7pMkEZLTzgD_LTuPsrdudHaRijWybqMz-iYVbmSLIvGtaShGBU_6slyDkyoCqZpUGjhQ==', 'bytes': 8774, 'width': 192, 'format': 'jpg', 'height': 128}}, 'caption': 'The Esplanade Hotel, a popular venue for alternative music', 'source_id': 'wikipedia', 'source_url': 'https://upload.wikimedia.org/wikipedia/commons/9/99/20200529075333%21The_Esplanade_Hotel_on_The_Esplanade_in_St_Kilda.jpg', 'attribution': {'format': '{attribution} / {license}', 'license_link': 'https://creativecommons.org/licenses/by-sa/3.0', 'license_text': 'CC BY-SA 3.0', 'attribution_link': 'https://commons.wikimedia.org/wiki/File:20200529075333!The_Esplanade_Hotel_on_The_Esplanade_in_St_Kilda.jpg', 'attribution_text': 'Created by Bidgee 2014; cropped by HappyWaldo'}}]","['drinks', 'district', 'eatingout', 'nightlife', 'poitype-Bar', 'eatingout_time', 'district-st_kilda', 'eatingout_establishment']","[{'url': 'http://www.openstreetmap.org/node/302753749', 'source_id': 'openstreetmap'}, {'url': 'http://en.wikipedia.org/wiki/Esplanade%20Hotel%20%28Melbourne%29', 'source_id': 'wikipedia'}, {'url': 'http://en.wikivoyage.org/wiki/Melbourne/St%20Kilda', 'source_id': 'wikivoyage'}]",,6.671726161984662,0,0,0,1,0,0,['unknown'],medium,-37.8640582,144.973013
6,T__bd60fe42170c,Melba Restaurant,"{'latitude': -37.820187265777335, 'longitude': 144.96570356022664}",3.554291053749243,"Extremely nice bar with a fantastic menu, located close to the Evan Walker Bridge. Melba Restaurant is a place worth considering for its outstanding buffet and extraordinary coffee. An excellent pastry chef and an amazing ambience. Good value for money.",[],"['lunch', 'coffee', 'dinner', 'cuisine', 'district', 'icecream', 'breakfast', 'eatingout', 'cuisine-Wine', 'district-cbd', 'cuisine-Steak', 'cuisine-Sushi', 'cuisine-Indian', 'eatingout_time', 'cuisine-Chinese', 'cuisine-Dessert', 'cuisine-Italian', 'cuisine-Pancake', 'cuisine-Seafood', 'cuisine-Japanese', 'poitype-Restaurant', 'eatingout_establishment']","[{'url': 'http://www.openstreetmap.org/', 'source_id': 'openstreetmap'}]",2.0,7.108582107498486,1,1,1,0,1,1,"['Wine', 'Steak', 'Sushi', 'Indian', 'Chinese', 'Dessert', 'Italian', 'Pancake', 'Seafood', 'Japanese']",medium,-37.820187265777335,144.96570356022664
7,N__598109742,Tiamo 1,"{'latitude': -37.7981827, 'longitude': 144.9671674}",3.5180231130179926,"Tiamo 1 is a coffee shop in Melbourne close to the Italian Museum, frequented for its amazing wines and excellent coffee. An outside menu, good portions, friendly staff and a fantastic atmosphere. Really good value for money.",[],"['lunch', 'coffee', 'dinner', 'cuisine', 'feature', 'district', 'eatingout', 'cuisine-Wine', 'poitype-Cafe', 'cuisine-Pizza', 'eatingout_time', 'cuisine-Dessert', 'cuisine-Italian', 'cuisine-Seafood', 'poitype-Restaurant', 'district-inner_north', 'district-little_italy', 'eatingout_establishment', 'feature-Outdoor_seating']","[{'url': 'http://www.openstreetmap.org/node/4412515089', 'source_id': 'openstreetmap'}, {'url': 'http://en.wikivoyage.org/wiki/Melbourne/Inner%20north', 'source_id': 'wikivoyage'}]",1.0,7.036046226035985,0,1,1,0,1,0,"['Wine', 'Pizza', 'Dessert', 'Italian', 'Seafood']",cheap,-37.7981827,144.9671674
8,T__97f4ac913f33,Smith & Daughters,"{'latitude': -37.802243, 'longitude': 144.977606}",3.5005317575766854,Smith & Daughters is a vegan restaurant in Inner east. High quality food and good cocktails. An extensive menu. Friendly staff and a fantastic ambience. Really good value for money.,[],"['lunch', 'coffee', 'dinner', 'cuisine', 'feature', 'district', 'breakfast', 'character', 'eatingout', 'cuisine-Wine', 'cuisine-Vegan', 'eatingout_time', 'cuisine-Dessert', 'cuisine-Italian', 'cuisine-Mexican', 'cuisine-Spanish', 'cuisine-Cocktail', 'feature-Takeaway', 'cuisine-Vegetarian', 'poitype-Restaurant', 'district-inner_east', 'eatingout_establishment', 'character-Reservation_recommended']","[{'url': 'http://www.openstreetmap.org/node/580720129', 'source_id': 'openstreetmap'}]",2.0,7.001063515153371,1,1,1,0,1,0,"['Wine', 'Vegan', 'Dessert', 'Italian', 'Mexican', 'Spanish', 'Cocktail', 'Vegetarian']",medium,-37.802243,144.977606
9,T__8ea84d7b3f8f,Cookie,"{'latitude': -37.8120225, 'longitude': 144.9651607}",3.488658861849344,"Cookie is a thai restaurant in Melbourne, frequented for its good wines, refreshing cocktails and unbelievable beers. Cheap food. Big wine list, extensive menu, friendly staff and a fantastic atmosphere. Really good value for money. Typically frequented by young people.",[],"['lunch', 'dinner', 'cuisine', 'feature', 'district', 'eatingout', 'cuisine-Beer', 'cuisine-Thai', 'cuisine-Wine', 'district-cbd', 'cuisine-Spicy', 'eatingout_time', 'cuisine-Cocktail', 'feature-Takeaway', 'district-chinatown', 'poitype-Restaurant', 'eatingout_establishment', 'district-melbourne_central_business_district']","[{'url': 'http://www.openstreetmap.org/node/2447744024', 'source_id': 'openstreetmap'}, {'url': 'http://en.wikivoyage.org/wiki/Melbourne/CBD', 'source_id': 'wikivoyage'}]",2.0,6.977317723698688,0,1,1,0,0,0,"['Beer', 'Thai', 'Wine', 'Spicy', 'Cocktail']",medium,-37.8120225,144.9651607
